"";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85+"
"Cullman County, Alabama";2564;2666;2764;2838;2412;2596;2688;3007;2922;2674;2534;2061;1823;1528;1305;925;552;355
"Dale County, Alabama";1875;1985;1827;1829;1638;2074;1736;1914;1871;1575;1519;1140;947;859;674;488;256;149
"Dallas County, Alabama";1693;1784;1914;1987;1305;1181;1149;1438;1593;1451;1313;1004;913;745;662;459;314;187
"De Kalb County, Alabama";2224;2391;2221;2270;2129;2364;2319;2378;2438;2133;2108;1660;1323;1217;984;679;400;270
"Elmore County, Alabama";2220;2464;2524;2415;2380;2565;2537;2993;2754;2418;2211;1614;1332;1029;761;575;347;203
"Escambia County, Alabama";1187;1372;1353;1404;1474;1475;1410;1545;1684;1394;1253;971;898;687;544;383;246;195
"Etowah County, Alabama";3382;3460;3575;3650;3109;3297;3371;3453;3746;3582;3564;2623;2221;1946;1844;1417;787;479
"Fayette County, Alabama";577;622;644;719;513;558;562;651;644;666;620;542;477;370;318;218;124;110
"Franklin County, Alabama";999;1109;1151;1152;1100;1155;1065;1156;1084;1007;952;806;732;659;490;381;185;146
"Geneva County, Alabama";738;894;1021;932;688;745;815;935;908;887;863;763;640;559;460;337;217;127
"Greene County, Alabama";406;439;437;446;256;223;230;279;341;374;247;219;190;173;174;120;59;68
"Hale County, Alabama";699;707;757;702;490;480;441;593;575;567;507;385;285;291;242;179;125;85
"Henry County, Alabama";541;518;561;620;460;460;526;496;565;580;577;446;370;290;324;195;128;97
"Houston County, Alabama";3085;3217;3419;3092;2472;2708;2792;3329;3356;3050;2848;2253;1762;1577;1331;928;565;386
"Jackson County, Alabama";1745;1855;1880;1876;1562;1837;1874;1938;2056;1885;1845;1575;1372;1078;831;541;319;212
"Jefferson County, Alabama";22154;23482;24172;23026;21789;23050;22130;24033;25060;23591;19849;14276;11214;9959;9510;7456;4435;2903
"Lamar County, Alabama";457;474;603;592;477;502;515;581;608;521;515;416;408;346;278;151;127;109
"Lauderdale County, Alabama";2662;2811;3043;3146;3031;2749;2890;3104;3178;3080;2733;2365;1949;1723;1478;1105;619;415
"Lawrence County, Alabama";1134;1323;1378;1300;1011;1102;1347;1435;1252;1182;1151;956;785;612;477;320;187;114
"Lee County, Alabama";3583;3889;3908;5671;9758;4595;3868;3913;3722;3262;2971;2157;1606;1393;986;693;409;246
"Limestone County, Alabama";2249;2346;2419;2250;2275;2437;2764;3105;2913;2363;2157;1710;1356;1146;772;586;300;186
"Lowndes County, Alabama";460;532;654;610;359;354;368;456;474;437;345;280;278;228;184;135;75;73
"Macon County, Alabama";784;889;869;1148;1182;639;536;619;734;709;664;527;413;383;324;312;200;143
"Madison County, Alabama";9587;10397;10435;10113;8670;8795;9761;12300;11971;9731;8438;6558;5611;4754;3393;2404;1368;733
"Marengo County, Alabama";774;945;1020;868;583;592;574;724;765;737;665;562;476;410;355;244;157;118
"Marion County, Alabama";1017;980;1052;1026;905;1088;1079;1255;1136;1093;1079;952;823;642;537;381;227;179
"Marshall County, Alabama";2796;3065;2857;2871;2457;2838;2847;3171;3113;2677;2505;2197;1880;1638;1342;872;535;350
"Mobile County, Alabama";15091;15913;15710;15251;13258;12992;12575;14357;15084;13435;11925;9000;7384;6100;5205;4001;2274;1489
"Monroe County, Alabama";912;993;949;997;657;687;739;815;859;799;730;594;494;436;363;264;159;129
"Montgomery County, Alabama";7837;8179;8450;8822;9328;8290;7459;8353;7951;7078;6477;4607;3576;3309;2633;1999;1238;773
"Morgan County, Alabama";3697;4099;4132;3944;3290;3702;3902;4660;4547;4055;3681;2960;2269;1910;1516;1077;644;366
"Perry County, Alabama";440;479;464;613;359;255;287;329;374;301;304;250;258;240;180;108;80;89
"Pickens County, Alabama";744;768;832;829;566;532;581;673;744;709;592;472;461;422;379;237;150;118
"Pike County, Alabama";949;1030;1081;1272;1505;973;863;923;961;858;815;707;588;457;404;310;161;128
"Randolph County, Alabama";741;808;826;839;640;695;679;750;857;746;713;562;542;444;393;272;176;127
"Russell County, Alabama";1761;1981;1920;1824;1536;1681;1633;1812;1803;1646;1405;1143;1015;883;722;495;289;155
"Saint Clair County, Alabama";2244;2372;2583;2249;1891;2319;2456;2791;2689;2397;2217;1822;1429;1186;905;635;296;171
"Shelby County, Alabama";5473;5507;5354;4824;3944;5238;5910;6126;6261;5507;5018;3462;2436;1911;1549;958;488;291
"Sumter County, Alabama";543;663;605;632;581;427;372;420;454;451;361;281;255;203;197;142;95;113
"Talladega County, Alabama";2565;2827;2998;2916;2523;2783;2818;3038;3159;2974;2681;2109;1706;1442;1131;799;482;334
"Tallapoosa County, Alabama";1334;1483;1456;1373;1045;1145;1268;1406;1516;1444;1394;1200;937;828;748;531;349;247
"Tuscaloosa County, Alabama";5411;5545;5472;6919;9302;6207;5233;5515;5718;5626;4757;3443;2727;2339;2112;1601;859;586
"Walker County, Alabama";2296;2385;2430;2372;2073;2345;2403;2576;2597;2475;2416;1918;1706;1433;1134;846;431;281
"Washington County, Alabama";685;786;764;737;498;563;564;629;640;584;588;493;381;329;262;179;112;75
"Wilcox County, Alabama";567;549;552;615;344;356;379;407;414;387;361;288;243;189;202;122;84;83
"Winston County, Alabama";770;833;874;861;690;802;889;1012;886;834;884;758;633;509;403;278;153;97
"Apache County, Arizona";3198;3890;4179;3628;2190;1886;2082;2315;2214;1976;1697;1375;1173;961;679;460;248;252
"Cochise County, Arizona";4021;4252;4639;4855;4018;3756;3603;4187;4157;3972;3692;2992;3029;2725;2335;1617;975;532
"Coconino County, Arizona";4289;4653;5201;5060;6335;4526;3893;4074;4358;4292;3516;2335;1795;1407;1048;672;368;239
"Gila County, Arizona";1560;1860;2007;1772;1083;1101;1280;1574;1712;1731;1725;1602;1565;1525;1242;966;584;360
"Graham County, Arizona";1356;1431;1487;1638;1436;1397;1411;1374;1219;1069;851;692;614;557;483;366;206;141
"Greenlee County, Arizona";376;374;407;399;191;257;275;335;388;367;311;219;172;126;108;74;58;25
"La Paz County, Arizona";509;564;648;630;441;455;436;540;645;593;595;658;741;887;870;489;295;127
"Maricopa County, Arizona";123805;121944;114064;112020;118396;129000;126349;126726;115527;95863;83584;63969;50764;45655;41408;33430;21027;12942
"Mohave County, Arizona";4830;5257;5328;4757;3410;3563;4126;4886;5328;4944;4908;4965;5313;5150;4601;3210;1671;852
"Navajo County, Arizona";4219;4795;5325;4668;2947;2718;2920;3376;3342;3011;2510;2089;1969;1602;1352;839;432;313
"Pima County, Arizona";28645;30181;30263;31259;32337;29669;28090;30880;31222;28383;25371;18992;15721;15094;13779;11412;6938;4326
"Pinal County, Arizona";6179;6600;6550;6504;6539;7153;6942;7576;6986;5993;5156;4737;4716;4754;4247;2924;1469;805
"Santa Cruz County, Arizona";1696;1872;1955;1598;974;1031;1105;1262;1299;1166;1049;805;742;577;524;353;233;122
"Yavapai County, Arizona";4461;4930;5474;5628;4279;3783;4014;5025;5622;5957;5718;5053;4974;5232;4833;3713;2211;1214
"Yuma County, Arizona";6490;6873;6537;6192;6510;5105;5140;5534;4974;4161;3628;3004;3635;4018;3910;2893;1417;778
"Arkansas County, Arkansas";706;703;812;699;563;580;587;689;748;784;697;556;443;405;358;272;157;122
"Ashley County, Arkansas";823;939;901;928;660;743;788;861;851;805;789;675;571;441;351;251;175;135
"Baxter County, Arkansas";896;1031;1121;1096;761;742;902;1118;1150;1161;1194;1223;1310;1453;1264;927;629;446
"Benton County, Arkansas";5838;5904;5752;5398;4680;5366;5734;5983;5637;4650;4241;3517;3119;3062;2732;2078;1286;709
"Boone County, Arkansas";1106;1139;1167;1187;929;1025;1073;1202;1151;1127;1058;954;878;737;653;493;283;209
"Bradley County, Arkansas";367;399;452;493;479;480;358;432;469;426;376;340;291;258;231;165;109;103
"Calhoun County, Arkansas";161;208;218;206;135;141;182;209;237;213;188;166;133;117;95;82;47;25
"Carroll County, Arkansas";817;814;909;920;700;739;777;960;902;925;880;766;655;583;476;328;207;153
"Chicot County, Arkansas";501;539;564;600;420;464;453;487;504;451;377;339;272;292;225;171;108;79
"Clark County, Arkansas";747;677;755;1156;1606;756;613;653;744;661;648;495;449;381;395;268;175;147
"Clay County, Arkansas";542;639;603;602;480;479;530;585;594;570;522;527;466;421;374;268;170;139
"Cleburne County, Arkansas";645;697;761;734;530;581;659;776;853;744;769;812;770;813;630;452;261;157
"Cleveland County, Arkansas";271;324;343;291;232;260;290;326;317;265;273;263;217;189;120;110;59;35
"Columbia County, Arkansas";805;900;920;1196;1086;684;742;832;846;818;669;609;519;475;420;324;195;154
"Conway County, Arkansas";690;727;728;762;576;583;599;785;709;682;632;560;489;404;368;300;167;112
"Craighead County, Arkansas";2891;2838;2796;3208;4017;3179;2793;2954;2834;2658;2475;1923;1429;1234;1000;767;437;337
"Crawford County, Arkansas";2048;2124;2305;2055;1534;1612;1824;2132;2112;1791;1698;1406;1059;909;744;488;301;173
"Crittenden County, Arkansas";2197;2369;2258;2028;1557;1531;1736;1860;1808;1620;1391;1093;822;621;522;425;238;160
"Cross County, Arkansas";685;763;817;824;545;555;575;727;708;624;632;535;391;308;310;238;127;97
"Dallas County, Arkansas";258;311;378;424;244;254;247;299;299;369;285;250;216;187;157;116;96;80
"Desha County, Arkansas";572;562;657;657;437;394;385;437;547;501;442;424;298;222;239;174;122;93
"Drew County, Arkansas";618;672;688;861;814;608;585;623;666;598;547;435;387;321;262;167;132;94
"Faulkner County, Arkansas";2990;3197;3209;3804;4254;3350;3004;3410;3155;2695;2424;1735;1405;1075;966;661;410;269
"Franklin County, Arkansas";588;608;667;780;504;574;543;659;656;617;526;475;420;378;286;251;149;114
"Fulton County, Arkansas";317;386;389;413;256;264;312;361;404;368;408;370;372;373;294;198;130;87
"Garland County, Arkansas";2545;2640;2805;2819;2206;2392;2486;3037;3179;2902;2803;2429;2309;2415;2252;1825;1043;674
"Grant County, Arkansas";547;594;662;618;473;518;574;662;686;576;568;470;387;291;231;138;102;72
"Greene County, Arkansas";1286;1380;1381;1326;1203;1319;1266;1452;1343;1233;1169;1022;785;646;587;399;251;169
"Hempstead County, Arkansas";885;886;951;940;788;777;754;860;773;749;697;591;489;395;339;242;155;136
"Hot Spring County, Arkansas";950;1088;1126;1089;888;900;888;1104;1115;1051;1035;855;681;653;561;414;262;166
"Howard County, Arkansas";505;524;583;576;398;481;448;581;499;431;414;330;326;253;225;165;124;109
"Independence County, Arkansas";1084;1131;1270;1442;1068;1037;1062;1259;1363;1225;1114;951;740;677;516;404;272;179
"Izard County, Arkansas";366;392;441;394;363;396;439;506;484;421;437;431;395;367;336;261;184;105
"Jackson County, Arkansas";534;556;614;797;912;476;481;551;596;564;609;469;433;341;331;247;165;111
"Jefferson County, Arkansas";2955;3069;3188;3565;3134;2788;2669;3141;3203;3047;2603;1993;1606;1285;1085;951;570;397
"Johnson County, Arkansas";793;855;815;899;783;778;755;827;829;712;732;631;489;448;401;299;168;118
"Lafayette County, Arkansas";267;308;341;359;222;192;229;289;285;288;269;253;220;191;151;129;81;65
"Lawrence County, Arkansas";593;555;650;715;573;526;542;591;592;560;538;492;404;380;339;238;180;126
"Lee County, Arkansas";379;441;463;497;594;644;527;574;480;423;373;325;204;213;170;147;89;87
"Lincoln County, Arkansas";426;459;466;599;973;864;733;901;732;585;497;341;260;225;171;132;90;56
"Little River County, Arkansas";482;476;518;506;385;413;395;447;441;452;481;432;352;293;209;171;93;84
"Logan County, Arkansas";752;822;902;853;607;655;704;851;828;721;731;620;555;469;408;329;206;141
"Lonoke County, Arkansas";1901;2159;2359;2115;1456;1644;1894;2224;2234;1760;1611;1301;1076;785;592;450;218;209
"Madison County, Arkansas";464;522;620;551;380;392;450;550;565;512;476;390;327;304;219;171;122;97
"Marion County, Arkansas";416;501;594;524;309;345;389;539;557;558;597;553;555;544;428;298;174;105
"Miller County, Arkansas";1568;1560;1537;1563;1368;1377;1438;1532;1443;1340;1173;984;768;615;575;419;275;172
"Mississippi County, Arkansas";2118;2193;2193;2092;1694;1621;1630;1807;1843;1661;1461;1112;1003;804;657;465;297;225
"Monroe County, Arkansas";349;405;430;420;245;234;244;327;341;321;305;255;235;217;184;127;100;74
"Montgomery County, Arkansas";278;278;337;308;193;198;289;330;329;313;329;278;294;250;207;163;104;54
"Nevada County, Arkansas";317;356;375;432;267;306;292;384;326;346;343;262;215;182;157;126;82;65
"Newton County, Arkansas";265;278;343;371;217;227;231;299;332;343;321;307;237;205;137;110;76;53
"Ouachita County, Arkansas";906;1033;1163;1092;745;752;763;945;1019;1042;916;757;582;595;487;386;239;200
"Perry County, Arkansas";348;371;387;347;257;304;348;364;398;359;349;304;261;217;201;119;76;51
"Phillips County, Arkansas";1119;1201;1196;1174;740;607;606;689;774;760;702;611;530;439;406;303;134;138
"Pike County, Arkansas";379;377;439;426;280;355;350;408;409;335;373;344;301;222;210;160;120;82
"Poinsett County, Arkansas";910;939;995;999;794;826;793;904;885;841;805;708;592;471;410;302;168;110
"Polk County, Arkansas";700;697;782;759;544;575;640;668;664;659;636;594;523;481;396;291;200;149
"Pope County, Arkansas";1827;1940;2085;2301;2186;1828;1752;2095;1984;1817;1676;1308;1049;923;740;564;398;256
"Prairie County, Arkansas";298;314;353;343;252;256;281;328;359;330;322;316;235;212;168;156;103;71
"Pulaski County, Arkansas";13143;12805;12748;12595;12350;14072;13030;13920;13875;12947;11501;8111;6249;5051;4043;3320;2070;1370
"Randolph County, Arkansas";576;656;706;713;510;493;523;650;641;610;596;505;454;376;386;243;172;104
"Saint Francis County, Arkansas";1157;1169;1175;1139;1075;1154;1174;1273;1220;1027;924;720;526;427;365;251;172;119
"Saline County, Arkansas";2730;2999;3244;3016;2282;2718;3017;3459;3369;2976;2738;2267;1971;1642;1284;880;470;305
"Scott County, Arkansas";449;407;454;430;317;328;347;429;393;342;343;332;305;227;176;129;79;64
"Searcy County, Arkansas";228;255;299;303;181;210;220;272;307;290;297;274;247;236;175;134;95;65
"Sebastian County, Arkansas";4311;4171;4193;4220;3730;4063;4157;4532;4423;4005;3399;2864;2179;1798;1527;1239;784;545
"Sevier County, Arkansas";621;655;587;670;530;586;581;565;533;473;470;388;322;248;237;188;113;75
"Sharp County, Arkansas";474;518;550;529;368;391;454;551;555;510;524;491;537;547;472;375;220;155
"Stone County, Arkansas";321;374;386;359;283;250;285;370;454;408;403;394;386;313;297;182;109;86
"Union County, Arkansas";1549;1696;1815;1787;1226;1273;1301;1654;1723;1563;1428;1097;920;769;760;588;398;267
"Van Buren County, Arkansas";422;505;564;535;359;410;395;494;554;526;522;492;495;517;455;346;230;138
"Washington County, Arkansas";5954;5551;5417;6688;9253;6999;6046;6088;5635;4944;4393;3221;2430;2129;1586;1349;778;550
"White County, Arkansas";2120;2303;2443;2831;2871;2149;2129;2529;2332;2122;2055;1643;1379;1230;975;803;468;371
"Woodruff County, Arkansas";309;302;340;323;225;244;221;296;272;305;328;202;204;132;151;108;85;75
"Yell County, Arkansas";694;804;845;834;707;751;723;812;763;683;626;521;478;431;317;255;164;137
"Alameda County, California";50296;53645;49444;47463;51072;58756;62623;64107;59998;51871;45547;31611;22638;18011;15522;13016;7960;5720
"Alpine County, California";30;34;40;48;56;35;26;55;58;67;61;26;34;25;19;12;2;7
"Amador County, California";735;982;1126;1795;969;1035;1234;1640;1728;1527;1472;1125;984;865;863;646;394;208
"Butte County, California";6032;6937;7640;8627;10102;6421;5537;6322;6905;6887;6243;4620;3676;3490;3433;3135;2108;1431
"Calaveras County, California";934;1290;1597;1477;713;704;845;1260;1598;1654;1695;1429;1379;1238;994;692;410;213
"Colusa County, California";754;793;865;971;698;601;650;649;694;646;545;400;353;281;244;192;130;93
"Contra Costa County, California";33713;37465;36970;32590;25845;28591;34015;39946;40015;35993;32774;23810;17192;13260;11409;9747;5893;4042
"Del Norte County, California";767;930;1109;1100;946;1364;1341;1557;1329;1137;926;627;491;447;435;353;200;127
"El Dorado County, California";4688;5911;6586;5865;3628;3569;4285;6082;7260;7237;6289;4324;3323;2907;2461;1846;1099;603
"Fresno County, California";34623;38175;36809;36143;32034;29434;28885;29940;28505;24925;20931;15132;11737;9790;8683;7269;4327;3134
"Glenn County, California";1047;1155;1253;1194;823;780;859;1003;952;929;749;625;498;417;426;324;191;148
"Humboldt County, California";3671;4086;4470;5040;5630;4646;3707;4383;4765;5226;4668;3140;2375;1909;1793;1500;908;615
"Imperial County, California";5613;6517;6668;6439;5567;5888;6101;6321;5713;4641;3588;2457;2231;1954;2007;1377;769;479
"Inyo County, California";493;595;702;630;328;325;417;572;760;795;640;560;459;412;414;321;191;147
"Kern County, California";28545;31676;30396;28814;25607;24846;25654;27988;26619;21888;17236;13033;10173;8544;7303;5636;3293;2131
"Kings County, California";5381;5591;5318;5388;7221;7514;7589;7697;6322;4790;3256;2347;1750;1339;1121;851;490;367
"Lake County, California";1587;2105;2256;1960;1235;1146;1458;1838;2215;2197;2260;1741;1528;1547;1452;1141;724;406
"Lassen County, California";870;1094;1201;1277;2180;2311;2394;2393;1925;1620;1273;751;515;477;396;289;179;96
"Los Angeles County, California";377819;409618;370008;352384;357958;395422;410209;399585;361740;304975;251338;185550;144259;117217;101449;81931;48565;34078
"Madera County, California";4904;5388;5200;5422;4145;3808;3771;3964;4102;3796;3486;2598;2154;1977;1718;1313;695;470
"Marin County, California";6762;7407;7412;6477;5466;7472;9540;10974;11331;11230;10753;8204;5425;4216;3563;2988;1981;1351
"Mariposa County, California";359;535;597;643;471;387;457;625;713;755;681;599;503;437;403;293;194;110
"Mendocino County, California";2600;3061;3481;3412;2531;2444;2609;2823;3293;3575;3642;2469;1848;1478;1336;1113;683;502
"Merced County, California";9510;10857;10604;9909;7625;7001;7242;7680;7367;6236;5232;3906;3165;2823;2230;1801;1072;671
"Modoc County, California";280;339;393;388;189;208;235;314;341;356;396;299;266;270;183;164;102;57
"Mono County, California";367;387;516;473;624;598;542;582;670;598;512;354;299;225;150;94;42;26
"Monterey County, California";16050;17172;15970;16527;17251;17943;17687;17130;16161;13536;11485;7933;5971;5069;4580;3591;2284;1601
"Napa County, California";3900;4343;4466;4595;3896;3909;4242;4677;4816;4738;4376;3395;2476;2119;1917;1906;1249;996
"Nevada County, California";2298;2998;3639;3391;1937;1846;2269;2974;3728;4035;4005;2878;2316;2039;1965;1658;1044;597
"Orange County, California";110404;119084;104570;101227;98152;114472;124743;126742;115540;94538;82086;62232;46369;36956;30409;24461;14167;9893
"Placer County, California";8027;9599;10018;9046;5942;6264;8071;10215;10566;9911;8818;6370;4868;4431;3735;3023;1832;1156
"Plumas County, California";495;610;816;766;410;395;434;634;783;918;897;759;710;547;535;360;208;126
"Riverside County, California";62240;71394;68343;61432;50227;48528;55120;62576;59999;48410;39702;29784;25489;24616;23001;19550;11711;7262
"Sacramento County, California";45219;50949;48974;44883;40885;43786;46527;50661;48111;41801;36075;24721;19521;17233;14688;12503;7563;4715
"San Benito County, California";2461;2584;2465;2194;1684;1833;2092;2367;2155;1817;1547;1073;762;647;488;400;231;141
"San Bernardino County, California";73273;84064;80787;73171;64680;59421;62663;69016;66396;55659;45381;32217;24342;20091;16774;12879;7401;4809
"San Diego County, California";101578;109508;102153;105385;128208;116623;114889;120595;111828;94514;79257;55113;42233;37701;34536;29976;18962;12038
"San Francisco County, California";16275;16030;15813;17024;27707;46970;48510;40376;33525;29900;26234;17557;14532;12851;11733;9709;5725;4357
"San Joaquin County, California";23117;25788;25477;25739;19894;18377;19929;22029;21373;18501;15665;11600;8864;7319;6633;5493;3364;2465
"San Luis Obispo County, California";6293;7662;8416;11223;12918;7877;7859;9654;10480;9977;8538;5806;4563;4253;4111;3519;2200;1355
"San Mateo County, California";23300;23886;22830;21425;21674;27334;30521;31718;29976;26460;23733;17091;13191;10567;9515;8028;4933;3469
"Santa Barbara County, California";13350;15111;14433;16241;19347;14781;14754;15557;15110;13234;11325;8284;6683;6098;5552;4760;2948;2195
"Santa Clara County, California";61168;61929;57442;56302;59819;77086;81609;82230;73295;59273;49718;37490;28000;21652;17879;14377;8258;5447
"Santa Cruz County, California";7921;8854;9058;10088;10680;9316;9955;10375;10804;10948;9666;5840;3819;2857;2614;2188;1435;1161
"Shasta County, California";5060;5946;6887;6573;4413;3773;4393;5517;6094;6120;5651;4673;3657;3176;2840;2452;1420;927
"Sierra County, California";79;112;177;117;52;57;98;110;151;162;150;128;106;91;70;57;45;33
"Siskiyou County, California";1174;1372;1712;1768;993;860;1003;1338;1651;1843;1818;1407;1188;1021;963;829;498;314
"Solano County, California";14569;16389;16628;15380;13824;13567;15651;17047;17204;14854;12929;8754;6201;5190;3927;3284;2034;1262
"Sonoma County, California";14149;16448;17017;16843;14645;14332;15961;18280;18919;18734;17293;11457;7868;6420;5912;5361;3604;2561
"Stanislaus County, California";18227;20660;20489;18891;15215;14779;15622;17399;16708;14427;12184;8917;6903;5980;5098;4191;2412;1810
"Sutter County, California";2942;3460;3462;3101;2636;2504;2747;2989;2872;2568;2291;1766;1540;1428;1095;808;521;331
"Tehama County, California";1760;2211;2399;2304;1502;1419;1655;1985;2077;1861;1747;1385;1368;1238;1044;869;540;328
"Trinity County, California";278;423;513;481;222;252;279;387;536;638;590;524;422;365;326;226;120;62
"Tulare County, California";16657;18237;17854;17595;13875;12856;12709;13297;12547;10974;9500;7135;5494;4734;3903;3273;1966;1404
"Tuolumne County, California";1281;1561;1815;1991;1800;1654;1850;2074;2420;2456;2173;1600;1417;1399;1299;1054;563;331
"Ventura County, California";28804;32483;30718;29194;24957;25009;28459;31778;31607;27246;23644;17099;12574;10188;8287;6784;4223;2934
"Yolo County, California";5624;6310;6348;8197;9991;6242;5780;5913;5708;5441;4525;3238;2382;2000;1749;1460;900;643
"Yuba County, California";2531;2730;2785;2603;2431;2074;2049;2353;2143;1912;1608;1240;1021;944;742;610;343;227
"Adams County, Colorado";15789;15086;14088;13753;14254;16300;16214;16646;15219;12477;10163;7030;5339;4432;3409;2339;1200;738
"Alamosa County, Colorado";564;594;630;790;710;501;434;499;579;524;442;310;269;202;150;101;71;76
"Arapahoe County, Colorado";17221;18682;19510;17626;15156;19040;19193;20760;21241;19557;16643;10938;7565;5733;4496;3623;2097;1349
"Archuleta County, Colorado";291;340;413;399;223;222;233;360;433;451;428;358;253;250;183;109;46;24
"Baca County, Colorado";141;149;176;172;79;95;108;138;185;170;145;134;108;120;105;111;65;46
"Bent County, Colorado";179;181;216;232;277;262;250;297;271;237;227;146;114;149;119;104;73;45
"Boulder County, Colorado";8799;9588;9902;11559;14984;13079;11880;12458;13054;12183;9912;6244;4197;3153;2466;1863;1143;800
"Chaffee County, Colorado";354;429;505;559;665;695;571;674;681;695;617;502;439;421;345;250;155;80
"Cheyenne County, Colorado";74;78;112;98;52;54;55;98;95;97;69;42;37;35;30;39;32;22
"Clear Creek County, Colorado";266;283;307;315;197;247;336;455;526;596;483;317;213;123;90;51;36;16
"Conejos County, Colorado";321;353;423;391;226;213;227;253;288;303;230;176;183;195;158;101;74;54
"Costilla County, Colorado";112;126;147;146;73;75;88;113;122;155;152;127;110;104;74;55;34;17
"Crowley County, Colorado";119;151;169;182;353;372;422;493;440;295;227;122;97;75;84;48;31;31
"Custer County, Colorado";99;98;130;122;58;54;73;119;136;177;179;138;137;109;76;56;20;7
"Delta County, Colorado";838;930;1045;972;628;706;714;929;1080;1037;978;814;791;742;629;489;361;289
"Denver County, Colorado";19385;17585;16119;16874;23773;32381;28877;24447;21371;19317;16462;10847;8074;6945;6427;5564;3399;2360
"Dolores County, Colorado";44;62;63;76;42;46;56;57;90;88;66;56;61;42;39;27;24;15
"Douglas County, Colorado";8692;8464;7496;5285;2708;5418;8188;9683;9039;7180;5993;3936;2228;1422;976;607;289;138
"Eagle County, Colorado";1503;1474;1291;1323;2252;2911;2621;2160;2096;1797;1369;844;520;302;176;106;47;21
"Elbert County, Colorado";668;838;963;809;337;384;584;968;1213;967;780;529;323;232;157;108;60;46
"El Paso County, Colorado";20030;20680;20845;20405;21239;20178;19925;23117;22240;18610;15389;10650;7565;6611;4949;3643;2295;1227
"Fremont County, Colorado";1145;1326;1488;1383;1718;2376;2460;2758;2600;2134;1727;1322;1002;955;785;595;379;264
"Garfield County, Colorado";1689;1639;1734;1658;1493;1725;1857;1912;2025;1878;1491;963;708;533;503;341;204;136
"Gilpin County, Colorado";140;125;143;144;107;202;224;264;249;308;226;174;71;45;53;31;10;5
"Grand County, Colorado";349;365;390;431;470;566;537;535;645;669;537;328;276;208;151;75;34;27
"Gunnison County, Colorado";330;334;392;687;1282;826;653;483;536;590;472;308;209;159;144;74;53;31
"Hinsdale County, Colorado";27;21;13;15;15;20;28;28;46;46;37;30;29;26;11;6;3;5
"Huerfano County, Colorado";165;230;247;284;282;289;291;349;383;349;290;271;213;177;151;134;104;60
"Jackson County, Colorado";39;49;61;56;33;35;46;73;67;70;63;57;43;35;32;13;16;6
"Jefferson County, Colorado";17016;18897;20572;19238;15489;17343;19019;23043;25158;22729;19399;13347;9400;7336;5831;4389;2430;1581
"Kiowa County, Colorado";50;64;54;72;40;44;35;55;65;69;56;46;39;33;24;29;16;20
"Kit Carson County, Colorado";257;307;350;326;252;273;274;390;369;285;249;204;189;143;126;115;72;55
